by 医工学习日志 v2.3.5 2024-10-14
央视频道,#genre#
东南卫视,http://www.iworknet.cn:8888/udp/239.69.1.108:10286
东南卫视,http://171.114.230.99:4000/udp/239.69.1.108:10286
东南卫视,http://221.232.101.62:4000/udp/239.69.1.108:10286
东南卫视,http://iworknet.cn:8888/udp/239.69.1.108:10286
东南卫视,http://116.207.108.62:4000/udp/239.69.1.108:10286
吉林卫视,http://221.232.101.62:4000/udp/239.69.1.212:10914
吉林卫视,http://www.iworknet.cn:8888/udp/239.69.1.212:10914
吉林卫视,http://219.139.62.21:60001/udp/239.69.1.212:10914
吉林卫视,http://iworknet.cn:8888/udp/239.69.1.212:10914
吉林卫视,http://116.207.108.62:4000/udp/239.69.1.212:10914
吉林卫视,http://171.114.230.99:4000/udp/239.69.1.212:10914
辽宁卫视,http://171.114.230.99:4000/udp/239.69.1.71:10066
辽宁卫视,http://116.207.108.62:4000/udp/239.69.1.71:10066
辽宁卫视,http://iworknet.cn:8888/udp/239.69.1.71:10066
辽宁卫视,http://221.232.101.62:4000/udp/239.69.1.71:10066
辽宁卫视,http://219.139.62.21:60001/udp/239.69.1.71:10066
辽宁卫视,http://www.iworknet.cn:8888/udp/239.69.1.71:10066
湖南卫视,http://116.207.108.62:4000/udp/239.254.96.139:8908
湖南卫视,http://www.iworknet.cn:8888/udp/239.254.96.139:8908
湖南卫视,http://171.114.230.99:4000/udp/239.254.96.139:8908
湖南卫视,http://221.232.101.62:4000/udp/239.254.96.139:8908
湖南卫视,http://219.139.62.21:60001/udp/239.254.96.139:8908
湖南卫视,http://iworknet.cn:8888/udp/239.254.96.139:8908
广东卫视,http://219.139.62.21:60001/udp/239.254.96.140:8914
广东卫视,http://171.114.230.99:4000/udp/239.254.96.140:8914
广东卫视,http://116.207.108.62:4000/udp/239.254.96.140:8914
广东卫视,http://www.iworknet.cn:8888/udp/239.254.96.140:8914
广东卫视,http://iworknet.cn:8888/udp/239.254.96.140:8914
广东卫视,http://221.232.101.62:4000/udp/239.254.96.140:8914
河南卫视,http://iworknet.cn:8888/udp/239.69.1.168:10644
河南卫视,http://171.114.230.99:4000/udp/239.69.1.168:10644
河南卫视,http://219.139.62.21:60001/udp/239.69.1.168:10644
河南卫视,http://116.207.108.62:4000/udp/239.69.1.168:10644
河南卫视,http://221.232.101.62:4000/udp/239.69.1.168:10644
河南卫视,http://www.iworknet.cn:8888/udp/239.69.1.168:10644
河北卫视,http://221.232.101.62:4000/udp/239.254.96.113:9616
河北卫视,http://iworknet.cn:8888/udp/239.254.96.113:9616
河北卫视,http://219.139.62.21:60001/udp/239.254.96.113:9616
河北卫视,http://116.207.108.62:4000/udp/239.254.96.113:9616
河北卫视,http://171.114.230.99:4000/udp/239.254.96.113:9616
河北卫视,http://www.iworknet.cn:8888/udp/239.254.96.113:9616
未分类节目,#genre#
BRTV卡酷少儿,http://116.207.108.62:4000/udp/239.69.1.193:10800
BRTV卡酷少儿,http://171.114.230.99:4000/udp/239.69.1.193:10800
BRTV卡酷少儿,http://219.139.62.21:60001/udp/239.69.1.193:10800
BRTV卡酷少儿,http://221.232.101.62:4000/udp/239.69.1.193:10800
BRTV卡酷少儿,http://iworknet.cn:8888/udp/239.69.1.193:10800
BRTV卡酷少儿,http://www.iworknet.cn:8888/udp/239.69.1.193:10800
CCTV-16奥林匹克4K,http://116.207.108.62:4000/udp/239.69.1.249:11136
CCTV-16奥林匹克4K,http://171.114.230.99:4000/udp/239.69.1.249:11136
CCTV-16奥林匹克4K,http://219.139.62.21:60001/udp/239.69.1.249:11136
CCTV-16奥林匹克4K,http://221.232.101.62:4000/udp/239.69.1.249:11136
CCTV-16奥林匹克4K,http://iworknet.cn:8888/udp/239.69.1.249:11136
CCTV-16奥林匹克4K,http://www.iworknet.cn:8888/udp/239.69.1.249:11136
CCTV-17农业农村,http://116.207.108.62:4000/udp/239.69.1.152:10548
CCTV-17农业农村,http://171.114.230.99:4000/udp/239.69.1.152:10548
CCTV-17农业农村,http://219.139.62.21:60001/udp/239.69.1.152:10548
CCTV-17农业农村,http://221.232.101.62:4000/udp/239.69.1.152:10548
CCTV-17农业农村,http://iworknet.cn:8888/udp/239.69.1.152:10548
CCTV-17农业农村,http://www.iworknet.cn:8888/udp/239.69.1.152:10548
CCTV-4中文国际 欧洲,http://116.207.108.62:4000/udp/239.69.1.231:11028
CCTV-4中文国际 欧洲,http://171.114.230.99:4000/udp/239.69.1.231:11028
CCTV-4中文国际 欧洲,http://219.139.62.21:60001/udp/239.69.1.231:11028
CCTV-4中文国际 欧洲,http://221.232.101.62:4000/udp/239.69.1.231:11028
CCTV-4中文国际 欧洲,http://iworknet.cn:8888/udp/239.69.1.231:11028
CCTV-4中文国际 欧洲,http://www.iworknet.cn:8888/udp/239.69.1.231:11028
CCTV-4中文国际 美洲,http://116.207.108.62:4000/udp/239.69.1.232:11034
CCTV-4中文国际 美洲,http://171.114.230.99:4000/udp/239.69.1.232:11034
CCTV-4中文国际 美洲,http://219.139.62.21:60001/udp/239.69.1.232:11034
CCTV-4中文国际 美洲,http://221.232.101.62:4000/udp/239.69.1.232:11034
CCTV-4中文国际 美洲,http://iworknet.cn:8888/udp/239.69.1.232:11034
CCTV-4中文国际 美洲,http://www.iworknet.cn:8888/udp/239.69.1.232:11034
CCTV-5+体育赛事,http://116.207.108.62:4000/udp/239.254.96.234:9484
CCTV-5+体育赛事,http://171.114.230.99:4000/udp/239.254.96.234:9484
CCTV-5+体育赛事,http://219.139.62.21:60001/udp/239.254.96.234:9484
CCTV-5+体育赛事,http://221.232.101.62:4000/udp/239.254.96.234:9484
CCTV-5+体育赛事,http://iworknet.cn:8888/udp/239.254.96.234:9484
CCTV-5+体育赛事,http://www.iworknet.cn:8888/udp/239.254.96.234:9484
CCTV-世界地理,http://116.207.108.62:4000/udp/239.69.1.91:10186
CCTV-世界地理,http://171.114.230.99:4000/udp/239.69.1.91:10186
CCTV-世界地理,http://219.139.62.21:60001/udp/239.69.1.91:10186
CCTV-世界地理,http://221.232.101.62:4000/udp/239.69.1.91:10186
CCTV-世界地理,http://iworknet.cn:8888/udp/239.69.1.91:10186
CCTV-世界地理,http://www.iworknet.cn:8888/udp/239.69.1.91:10186
CCTV-兵器科技,http://116.207.108.62:4000/udp/239.69.1.79:10114
CCTV-兵器科技,http://171.114.230.99:4000/udp/239.69.1.79:10114
CCTV-兵器科技,http://219.139.62.21:60001/udp/239.69.1.79:10114
CCTV-兵器科技,http://221.232.101.62:4000/udp/239.69.1.79:10114
CCTV-兵器科技,http://iworknet.cn:8888/udp/239.69.1.79:10114
CCTV-兵器科技,http://www.iworknet.cn:8888/udp/239.69.1.79:10114
CCTV-第一剧场,http://116.207.108.62:4000/udp/239.69.1.74:10084
CCTV-第一剧场,http://171.114.230.99:4000/udp/239.69.1.74:10084
CCTV-第一剧场,http://219.139.62.21:60001/udp/239.69.1.74:10084
CCTV-第一剧场,http://221.232.101.62:4000/udp/239.69.1.74:10084
CCTV-第一剧场,http://iworknet.cn:8888/udp/239.69.1.74:10084
CCTV-第一剧场,http://www.iworknet.cn:8888/udp/239.69.1.74:10084
CCTV-风云足球,http://116.207.108.62:4000/udp/239.69.1.81:10126
CCTV-风云足球,http://171.114.230.99:4000/udp/239.69.1.81:10126
CCTV-风云足球,http://219.139.62.21:60001/udp/239.69.1.81:10126
CCTV-风云足球,http://221.232.101.62:4000/udp/239.69.1.81:10126
CCTV-风云足球,http://iworknet.cn:8888/udp/239.69.1.81:10126
